totalQuality, length, polarity, subjectivity, readability
0.63 0.75 0.0 0.0 1.77
0.591 0.5 0.35 0.5133333333333334 1.0
0.588 0.5 0.6333333333333333 0.7583333333333333 0.46
0.514 0.5 0.29305555555555557 0.7236111111111111 0.54
0.676 0.75 0.45833333333333337 0.875 0.62
0.496 0.5 0.5013888888888889 0.6027777777777777 0.38
0.438 0.25 0.5666666666666668 0.7833333333333333 0.15
0.902 1.0 0.75 0.9375 0.92
0.449 0.25 0.43333333333333335 0.8833333333333333 0.23
0.175 0.5 0.0 0.05 0.15
0.519 0.25 0.4777777777777778 0.5 0.85
0.259 0.25 -0.1185897435897436 0.5955128205128205 0.31
0.556 0.5 0.31666666666666665 0.8666666666666667 0.54
0.74 0.5 1.0 1.0 0.46
0.482 0.5 0.4166666666666667 0.6297619047619047 0.38
0.513 0.5 0.59375 0.65 0.31
0.527 0.5 0.66875 0.7875 0.15
0.69 0.5 0.8 1.0 0.46
0.574 0.5 0.4761111111111111 0.8614814814814816 0.46
0.233 0.25 0.11458333333333334 0.25555555555555554 0.31
0.396 0.5 0.23019480519480515 0.625 0.23
0.521 0.5 0.45833333333333337 0.6666666666666667 0.46
0.397 0.5 0.18125 0.6749999999999999 0.23
0.633 0.75 0.5241071428571429 0.6386904761904761 0.62
0.337 0.5 0.07777777777777778 0.38888888888888884 0.38
0.326 0.25 0.25 0.4222222222222223 0.38
0.527 0.5 0.17777777777777778 0.4305555555555555 1.0
0.509 0.75 0.14166666666666666 0.4533333333333333 0.69
0.586 0.75 0.125 0.7 0.77
0.222 0.25 0.06198979591836734 0.4948979591836734 0.08
0.587 0.5 0.8 0.7375 0.31
0.508 0.5 0.19999999999999998 0.8714285714285716 0.46
0.276 0.5 -0.3 0.525 0.38
0.307 0.5 0.5 0.15 0.08
0.662 0.5 0.8 0.8099999999999999 0.54
0.46 0.5 0.05999999999999996 0.9 0.38
0.559 0.5 0.75625 0.9 0.08
0.527 0.75 0.037500000000000006 0.7 0.62
0.296 0.5 -0.014583333333333337 0.31666666666666665 0.38
0.59 0.75 0.4 0.5900000000000001 0.62
0.42 0.5 0.48375 0.5475 0.15
0.57 0.5 0.3 0.4 1.08
0.373 0.5 0.11666666666666665 0.5666666666666667 0.31
0.582 0.5 0.5666666666666668 0.7999999999999999 0.46
0.621 0.5 0.45 0.5333333333333333 1.0
